User-ID,ISBN,Book-Rating
277427,002542730X,10
277427,0060542128,7
277427,0061009059,9
277427,0152050167,10
277427,0316776963,8
277427,0345413903,10
277427,0375751513,9
277427,0380702843,8
277427,0380791978,9
277427,0385424736,9
277427,0385486804,9
277427,0385503857,9
277427,0385504209,8
277427,0399149562,7
277427,0399501487,9
277427,0425104338,9
277427,0425133516,9
277427,0440185327,5
277427,0440224764,7
277427,0440236738,9
277427,0441627404,10
277427,0446350982,9
277427,0446608890,10
277427,0451191153,8
277427,0452284449,6
277427,0553280368,9
277427,0553571656,10
277427,0553573926,10
277427,0553574566,9
277427,0671528904,8
277427,0671740504,8
277427,0679731148,9
277427,0679736042,5
277427,0740723367,9
277427,0743412028,9
277427,0743422082,9
277427,0743444477,9
277427,0811802981,10
277427,0811811409,10
277427,0836210263,10
277427,0836217691,10
277427,0836218515,10
277427,0836218817,10
277427,0836221192,10
277427,0836221311,8
277427,0890876517,10
2033,0060248025,10
2033,0060256737,10
2033,0140386645,8
2033,0142000663,10
2033,0345337662,5
2033,0439064864,9
2033,0439136350,9
2033,0439139597,9
2033,043935806X,9
2033,051513628X,6
2033,0553573136,8
2033,0590353403,9
2033,0671524313,6
2033,0688149790,8
2033,0836204387,10
2033,0836218256,9
2033,0836218787,10
2033,0836220889,10
2033,0836221362,10
2033,0886773776,10
2033,0886774012,9
2033,0920668372,10
2276,0061030643,8
2276,0345379144,10
2276,0345423615,9
2276,0380002930,9
2276,0385505833,5
2276,0425119653,8
2276,0425172546,9
2276,0425182908,4
2276,0440221471,10
2276,0440236673,10
2276,0446609323,9
2276,0446612790,10
2276,0553574582,7
2276,0553576801,8
2276,0553583468,10
2276,0671524313,10
2276,0671729446,5
2276,0671797050,10
2276,0805063897,10
2276,0812513711,8
2276,0812517725,8
4017,006000438X,10
4017,0060175966,9
4017,0060915544,8
4017,0060929871,9
4017,006093090X,10
4017,0060964049,9
4017,0140244824,10
4017,014028009X,9
4017,015600710X,10
4017,0156007754,9
4017,0312150601,5
4017,0316096199,10
4017,0316666343,10
4017,0316899984,5
4017,0345423291,9
4017,0345433491,9
4017,0345443284,10
4017,0375406530,10
4017,0375411550,10
4017,0375500510,10
4017,037570504X,10
4017,0375705856,9
4017,0375707972,10
4017,0380005239,10
4017,0380730138,9
4017,0380820145,9
4017,0385265700,9
4017,0385318782,8
4017,0385319207,10
4017,038533334X,10
4017,0385486804,10
4017,0385502532,9
4017,0446310786,10
4017,0446516538,7
4017,0446677450,10
4017,0449002985,8
4017,0449911004,8
4017,0452260116,9
4017,0452280621,10
4017,0452282829,10
4017,0670892963,8
4017,0671038184,10
4017,0671510053,10
4017,067976402X,10
4017,068484267X,10
4017,068484477X,5
4017,0743439740,10
4017,1565122968,10
4017,1573225789,9
5582,014028009X,10
5582,0140293248,9
5582,0312966970,10
5582,0312976275,10
5582,0345301110,7
5582,0345334531,8
5582,0345409671,10
5582,0345423402,10
5582,0375401598,7
5582,0380789035,9
5582,0380812029,8
5582,0380820293,8
5582,0425152251,10
5582,0425173631,10
5582,0425176304,10
5582,0425178579,10
5582,0425181464,10
5582,0425181685,10
5582,0425183971,10
5582,0441005748,10
5582,0441007813,10
5582,044651652X,7
5582,0451191145,10
5582,0451191153,10
5582,0515093556,7
5582,0515131091,10
5582,0553212451,9
5582,0679454470,7
5582,0679454489,8
5582,0679785892,9
5582,0874776945,9
5582,0894803204,10
5582,0918949165,10
5582,1551668653,8
5582,1558744150,5
6242,006000438X,6
6242,0060934417,7
6242,0060935464,7
6242,0060958022,6
6242,0060987103,7
6242,0140293248,5
6242,0142001430,7
6242,0312144075,5
6242,0312150601,5
6242,0312195516,7
6242,0312243022,8
6242,0312282990,6
6242,0312291639,5
6242,0375705856,5
6242,0375706410,8
6242,0375707972,8
6242,0375726403,7
6242,038542017X,7
6242,039592720X,5
6242,0446670251,5
6242,0452264464,5
6242,0679746048,5
6242,0679751521,5
6242,067976402X,8
6242,068484267X,8
6242,068484477X,8
6242,0871136791,8
6242,1573225789,7
6242,1573227331,6
6242,1573229326,6
6251,0060256737,10
6251,0060392452,10
6251,0061009059,7
6251,0064400565,10
6251,0064405052,8
6251,0140067477,10
6251,014017737X,9
6251,0140328696,9
6251,015602943X,10
6251,0312950586,10
6251,0312952716,8
6251,0312966091,9
6251,0312980140,7
6251,0316569321,8
6251,0345392825,8
6251,0375504613,7
6251,0375725784,4
6251,0375727345,6
6251,0380600129,10
6251,0380789035,7
6251,0380807343,8
6251,0380813815,10
6251,0385484518,7
6251,039480001X,10
6251,0394820371,10
6251,0439136350,10
6251,0439139597,10
6251,043935806X,9
6251,0440206154,7
6251,0440222656,7
6251,0440224675,6
6251,0440487617,10
6251,0440498058,10
6251,0440998050,10
6251,0441003257,10
6251,0446343455,9
6251,0446532231,10
6251,0517149257,10
6251,0553210092,7
6251,0553274325,10
6251,0553560247,7
6251,0609610597,3
6251,0670894605,8
6251,0679731148,7
6251,067976402X,8
6251,0679769781,8
6251,068484267X,8
6251,0688149790,7
6251,0740718770,9
6251,0786817070,8
6251,0786885688,8
6251,0836218353,10
6251,0836218655,10
6251,0836220730,10
6251,0836220986,10
6251,156402976X,10
6543,0060987103,10
6543,0061009059,8
6543,014025448X,8
6543,0140265686,7
6543,0140270590,7
6543,0140280553,6
6543,0142001740,9
6543,0312289723,8
6543,0312306326,6
6543,0312313810,6
6543,0312979096,7
6543,0312980140,8
6543,0345342968,8
6543,0345436911,8
6543,0345445848,7
6543,0374100128,5
6543,0375411070,10
6543,0380780860,6
6543,0380813815,10
6543,0380978415,8
6543,038548951X,10
6543,0385721420,7
6543,0385722206,6
6543,0399149422,5
6543,0399149562,6
6543,0425192725,8
6543,0440212561,8
6543,0446604658,8
6543,0446605484,10
6543,0446610038,9
6543,0451205561,6
6543,0451206002,6
6543,0451207246,7
6543,0553274503,8
6543,055356773X,6
6543,0553569619,7
6543,0553574566,8
6543,0553801945,8
6543,0670030643,7
6543,0743235150,8
6543,0767905385,7
6543,0802135161,6
6543,0805062971,8
6543,0836218051,10
6543,1400031346,6
6543,1400031354,7
6543,1400031362,8
6543,1573225789,9
6575,006000438X,9
6575,0060502258,8
6575,0060926317,2
6575,0060928336,8
6575,0060929790,8
6575,0060934417,9
6575,0060972122,3
6575,0060976241,8
6575,0060987103,9
6575,014018869X,8
6575,014028009X,4
6575,0140293248,8
6575,014029628X,7
6575,0140298479,6
6575,0141000198,4
6575,0142001740,8
6575,0156007754,8
6575,015602943X,10
6575,0312144075,9
6575,0312150601,8
6575,0312195516,8
6575,0312243022,7
6575,0312265867,9
6575,0312282990,9
6575,0312966970,9
6575,0312980140,9
6575,0312986343,5
6575,0312990456,9
6575,0316776963,8
6575,0316777722,9
6575,0345366239,9
6575,034536676X,7
6575,0345391802,8
6575,0345413350,5
6575,0345416260,8
6575,0345423135,7
6575,0345433491,8
6575,0373250126,5
6575,0375502238,7
6575,0375705856,8
6575,0375706410,9
6575,0375706771,7
6575,0375725784,7
6575,0375760911,7
6575,0380002930,4
6575,0380730200,8
6575,0380977788,9
6575,038533334X,4
6575,0385335482,5
6575,0385484518,6
6575,0385720106,7
6575,0385722206,9
6575,042513699X,5
6575,0425184943,4
6575,0440221099,7
6575,0446527785,1
6575,0446600660,7
6575,0446604666,7
6575,0446606812,2
6575,0446672211,8
6575,0449002985,7
6575,0449213447,9
6575,0449911004,8
6575,0451163966,8
6575,0452282152,6
6575,0553279912,7
6575,0553574663,6
6575,0609804138,8
6575,0670869902,7
6575,0671001795,9
6575,0671743058,7
6575,0679429220,6
6575,0679457526,7
6575,0679731148,7
6575,0679736042,7
6575,0679745203,8
6575,0679746048,9
6575,0679751602,9
6575,067976402X,7
6575,068484267X,9
6575,0743227441,7
6575,080410526X,5
6575,0804106304,9
6575,080410753X,8
6575,0804111359,2
6575,0811801802,9
6575,0811802981,9
6575,0811831620,9
6575,0836218515,9
6575,0836218655,8
6575,0836218817,8
6575,0877017883,9
6575,0890876517,6
6575,0894808249,6
6575,1400031346,9
6575,1400031354,9
6575,1400034779,9
6575,1573229725,8
6575,1885171080,6
7346,0028604199,8
7346,0060096195,8
7346,0060507772,9
7346,0060987103,7
7346,0061020648,9
7346,0064471047,9
7346,0064472272,6
7346,014018869X,6
7346,014029628X,8
7346,0140386645,8
7346,0140430725,10
7346,0312201656,8
7346,0312203039,7
7346,0312265867,6
7346,0312924585,9
7346,0312966970,8
7346,0312976275,7
7346,0312980140,8
7346,0316096199,8
7346,034529873X,8
7346,0345316002,7
7346,0345327861,7
7346,0345341678,7
7346,0345348036,8
7346,0345361792,9
7346,0345370775,8
7346,0345380371,9
7346,0345384911,6
7346,0345391055,7
7346,0345445848,6
7346,0375726403,8
7346,0380001411,8
7346,0380704587,8
7346,0380710722,8
7346,0380725584,9
7346,0380752891,6
7346,0380759489,6
7346,0380759497,6
7346,0380778556,9
7346,0380977788,9
7346,0385335881,8
7346,0385479565,8
7346,0385730586,7
7346,0399145087,7
7346,0399147195,8
7346,0425147622,8
7346,0425154092,8
7346,0425187144,8
7346,043936213X,9
7346,0440221471,9
7346,0440224705,7
7346,0440225701,10
7346,0440234743,9
7346,0440236673,8
7346,0440241073,8
7346,044048474X,7
7346,0440940001,9
7346,0446359866,7
7346,0446365386,8
7346,0449003787,8
7346,0449219364,8
7346,0449219461,7
7346,0451141083,7
7346,0451184726,8
7346,0451188454,8
7346,0451457811,9
7346,0451526341,8
7346,0515087122,8
7346,0515090174,8
7346,0553213156,8
7346,0553213180,9
7346,0553284789,6
7346,0553287532,7
7346,0553560247,8
7346,0553575384,10
7346,0590353403,10
7346,0609804138,7
7346,0670892963,7
7346,0671001795,8
7346,0671250671,8
7346,0671617028,8
7346,0671797050,6
7346,0671867172,9
7346,0671880187,7
7346,0684872153,7
7346,0743227441,9
7346,0786868716,7
7346,0802139256,8
7346,0804106304,9
7346,080410753X,8
7346,0836210263,7
7346,0836221192,6
7346,1558531025,9
7346,155874262X,7
7346,1558743316,7
7346,1559029838,8
8067,0060096195,10
8067,0061009059,10
8067,014028009X,5
8067,0312265859,10
8067,0312284683,10
8067,0312306326,7
8067,0312966806,7
8067,0312966970,10
8067,0312971346,10
8067,0312980140,10
8067,0312980159,10
8067,0312983271,10
8067,031298328X,10
8067,0375760911,10
8067,0380782340,9
8067,0380814390,9
8067,0385335830,9
8067,038533656X,10
8067,0385472951,10
8067,042518630X,2
8067,0440241162,10
8067,0446606812,8
8067,0446610542,9
8067,0446692298,10
8067,0451188543,8
8067,0553574663,10
8067,0553576798,10
8067,0671001795,10
8067,0671020293,10
8067,0671769200,10
8067,0743469801,10
8067,075820230X,10
8067,0804114609,7
8067,1551666189,10
8067,1551669412,10
8067,1551669498,10
8681,0060248025,9
8681,0140258795,8
8681,0142001740,9
8681,0312150601,9
8681,0312195516,8
8681,0316779237,9
8681,0345350499,7
8681,0375703764,10
8681,0375756981,7
8681,0380973650,10
8681,0385490445,10
8681,0385491026,9
8681,0385498721,8
8681,0393319296,8
8681,0451456521,9
8681,0517693119,10
8681,0525947647,10
8681,0553569058,8
8681,0553572997,7
8681,0590353403,8
8681,0618002219,8
8681,0679745203,8
8681,0743422082,7
8681,0874776945,9
8681,1573225517,10
8681,1573227331,8
11676,002542730X,6
11676,006000438X,6
11676,0060008032,8
11676,0060085452,7
11676,006016848X,9
11676,0060175400,10
11676,0060192119,10
11676,0060194448,7
11676,0060199652,10
11676,0060256672,8
11676,0060256737,7
11676,0060391626,10
11676,0060502258,8
11676,0060540753,7
11676,0060542128,8
11676,0060809833,9
11676,0060920084,9
11676,0060922532,8
11676,0060926317,6
11676,0060929790,8
11676,006092988X,9
11676,006093090X,10
11676,0060934719,8
11676,0060935464,10
11676,0060938455,10
11676,0060958022,3
11676,0060964049,4
11676,0060987103,9
11676,0060987529,8
11676,0060987561,9
11676,006098824X,5
11676,006099486X,10
11676,0061000027,7
11676,0061000043,9
11676,0061000175,8
11676,0061009059,8
11676,006101351X,8
11676,0061030643,7
11676,0061097853,8
11676,0061097861,9
11676,0061098035,9
11676,006109918X,8
11676,0061099325,8
11676,0061099368,6
11676,0062502182,10
11676,0064400034,8
11676,0064400042,9
11676,0064400050,8
11676,0064400085,8
11676,006440031X,7
11676,0064400557,9
11676,006440188X,10
11676,0064405052,7
11676,0064407055,8
11676,0064407667,3
11676,0064407675,10
11676,0064471101,10
11676,0064472272,10
11676,0066209773,9
11676,0066212855,9
11676,0066214122,9
11676,0070212570,7
11676,0140067477,8
11676,0140143505,10
11676,0140150749,7
11676,014023313X,6
11676,014025448X,10
11676,0140258795,7
11676,0140265686,8
11676,0140268863,10
11676,0140270590,8
11676,014028009X,8
11676,0140280553,7
11676,0140293248,5
11676,014029628X,7
11676,0140298479,3
11676,014038572X,8
11676,014131088X,10
11676,0142000205,8
11676,0142002267,8
11676,0142004235,10
11676,0151008116,6
11676,0152567089,10
11676,0156001314,7
11676,0156007479,8
11676,0156007754,9
11676,0156027321,6
11676,0307010368,10
11676,0312113420,7
11676,0312147015,8
11676,0312195516,10
11676,0312203039,8
11676,0312243022,7
11676,0312265859,10
11676,0312265867,8
11676,0312274920,7
11676,0312278586,6
11676,0312282990,8
11676,0312291639,9
11676,0312305060,9
11676,0312313810,8
11676,031242227X,7
11676,0312924801,8
11676,0312955006,9
11676,0312961324,10
11676,0312966091,8
11676,0312966970,7
11676,0312974256,8
11676,0312976275,7
11676,0312978383,5
11676,0312980159,5
11676,0312983298,5
11676,0312983603,5
11676,0312983824,7
11676,0312983867,4
11676,0312986343,8
11676,0316096199,10
11676,0316107352,7
11676,0316153915,7
11676,0316154059,8
11676,0316168688,9
11676,0316182540,9
11676,0316569321,10
11676,0316602906,3
11676,0316603287,8
11676,0316603570,4
11676,0316666009,8
11676,0316666343,5
11676,0316690619,10
11676,0316693006,10
11676,0316693200,7
11676,0316693235,5
11676,0316693251,10
11676,0316693294,10
11676,0316693324,10
11676,0316776963,8
11676,0316777722,10
11676,0316780375,7
11676,0316781142,9
11676,0316781266,5
11676,0316782505,8
11676,0316789089,8
11676,0316969443,7
11676,034529873X,10
11676,034530988X,10
11676,0345311485,7
11676,0345313151,7
11676,0345313860,8
11676,0345318854,2
11676,0345337662,6
11676,0345339495,6
11676,0345361792,10
11676,0345362861,8
11676,034536676X,10
11676,0345368754,8
