User-ID,Location,Age
2033,"omaha, nebraska, usa",27.0
2276,"niskayuna, new york, usa",46.0
4017,"new orleans, louisiana, usa",48.0
5582,"seattle, washington, usa",26.0
6242,"calgary, alberta, canada",
6251,"wahiawa, hawaii, usa",32.0
6543,"strafford, missouri, usa",34.0
6575,"seattle, washington, usa",
7346,"sunnyvale, california, usa",49.0
8067,"owings mills, maryland, usa",26.0
8681,"orlando, florida, usa",34.0
11676,"n/a, n/a, n/a",
12538,"byron, minnesota, usa",18.0
12982,"getxo, vizcaya, spain",41.0
13552,"cordova, tennessee, usa",32.0
16634,"little rock, arkansas, usa",42.0
16795,"mechanicsville, maryland, usa",47.0
17950,"puchong, selangor, malaysia",32.0
21014,"fresno, california, usa",
23768,"st. louis, missouri, usa",45.0
23872,"tulsa, oklahoma, usa",22.0
23902,"london, england, united kingdom",
25409,"la mesa, california, usa",31.0
25981,"nj, new jersey, usa",
28634,"bad axe, michigan, usa",28.0
30276,"wildwood, new jersey, usa",49.0
30711,"sydney, new south wales, australia",32.0
30735,"corvallis, oregon, usa",
31315,"henryville, indiana, usa",34.0
31556,"chula vista, california, usa",51.0
31826,"jasper, missouri, usa",54.0
32773,"olathe, kansas, usa",28.0
35857,"mentor, ohio, usa",36.0
35859,"duluth, minnesota, usa",
36606,"san marcos, california, usa",39.0
37712,"cincinnati, ohio, usa",23.0
37950,"calgary, alberta, canada",
38023,"hayward, california, usa",30.0
38273,"chandler, arizona, usa",
39281,"morris plains, new jersey, usa",45.0
40889,"brainerd, minnesota, usa",37.0
40943,"oklahoma city, oklahoma, usa",40.0
43246,"toronto, ontario, canada",36.0
43910,"granada hills, california, usa",43.0
46398,"san antonio, texas, usa",37.0
48025,"concordia, missouri, usa",43.0
48494,"lemon grove, california, usa",51.0
51883,"jasper, missouri, usa",31.0
52584,"livermore, california, usa",45.0
52917,"bellevue, washington, usa",42.0
55187,"torrance, california, usa",48.0
55490,"rapid city, south dakota, usa",25.0
56399,"n/a, surrey, united kingdom",63.0
56447,"sturgis, michigan, usa",22.0
56959,"monroe twp., new jersey, usa",52.0
59172,"owen sound, ontario, canada",36.0
60244,"alvin, texas, usa",47.0
60707,"manchester, new hampshire, usa",38.0
67840,"houston, texas, usa",50.0
68555,"bad axe, michigan, usa",
69078,"new york, new york, usa",42.0
69697,"west sacramento, california, usa",24.0
70415,"crescent city, florida, usa",57.0
70594,"prince george, british columbia, canada",53.0
75591,"charleston, west virginia, usa",33.0
76151,"sioux falls, south dakota, usa",49.0
76499,"new york, new york, usa",
76626,"london, england, united kingdom",38.0
